epoch,accuracy,loss,lr,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_top_k_categorical_accuracy
0,0.2715453803539276,1.8529454469680786,0.01,0.8366989493370056,0.11394746601581573,2.7601757049560547,0.6056233644485474
1,0.29013684391975403,1.815251111984253,0.01,0.8480139970779419,0.12893082201480865,3.7082223892211914,0.6354051232337952
2,0.422296404838562,1.5274194478988647,0.01,0.9142189621925354,0.2075471729040146,2.305671215057373,0.8298187255859375
3,0.5089953541755676,1.295556664466858,0.01,0.9505340456962585,0.2717351019382477,2.2488038539886475,0.8773584961891174
4,0.5774198770523071,1.1393849849700928,0.01,0.9664385914802551,0.3560858368873596,1.864841341972351,0.9012208580970764
5,0.6166388392448425,1.0362147092819214,0.01,0.9736815690994263,0.3829078674316406,1.9915231466293335,0.9104698300361633
6,0.6457943916320801,0.9624500870704651,0.01,0.9784379005432129,0.47706252336502075,1.4499691724777222,0.9245283007621765
7,0.6711782217025757,0.8981155753135681,0.01,0.9814419150352478,0.37328892946243286,2.11625075340271,0.8895671367645264
8,0.6953771710395813,0.8414457440376282,0.01,0.9842790365219116,0.43821680545806885,1.768717646598816,0.9454309940338135
9,0.7137182950973511,0.7920207977294922,0.01,0.9864986538887024,0.41916388273239136,2.0942349433898926,0.9302626848220825
10,0.7310747504234314,0.7454463839530945,0.01,0.9876835942268372,0.5044395327568054,1.620556354522705,0.9507954120635986
11,0.7477303147315979,0.7068972587585449,0.01,0.9895694255828857,0.4957454800605774,1.6687949895858765,0.9483906626701355
12,0.7643858194351196,0.6623258590698242,0.01,0.9905540943145752,0.45449501276016235,1.946637511253357,0.940621554851532
13,0.7762349843978882,0.6269907355308533,0.01,0.9917389750480652,0.5314465165138245,1.5741480588912964,0.9589345455169678
14,0.7907710075378418,0.5891455411911011,0.01,0.9931575655937195,0.4765075743198395,2.107706308364868,0.9358120560646057
15,0.8024032115936279,0.5558222532272339,0.01,0.9930073618888855,0.535331130027771,1.8290247917175293,0.9613392353057861
16,0.8128504753112793,0.5297339558601379,0.01,0.9939252138137817,0.57084721326828,1.538068175315857,0.9654088020324707
17,0.822129487991333,0.5097997784614563,0.01,0.9944092035293579,0.5479097366333008,1.8287982940673828,0.9537550806999207
18,0.8309245705604553,0.48173677921295166,0.01,0.9951435327529907,0.491305947303772,2.191751480102539,0.9356271028518677
